Original,Anonymized	n	onym
alpaca	1	9189
alpaca	2	MSP3
alpaca	3	CG9C
alpaca	4	2QCD
alpaca	5	V8DE
bard	1	EE4I
bard	2	4OIE
bard	3	FHWX
bard	4	KO23
bard	5	EH60
bing	1	E12Z
bing	2	HRLV
bing	3	L9PD
bing	4	3AA0
bing	5	9SDQ
chatgpt	1	8X76
chatgpt	2	XWOA
chatgpt	3	H45J
chatgpt	4	DU0E
chatgpt	5	143V
chatgpt	1	7UKN
chatgpt	2	KX0B
chatgpt	3	B2NX
chatgpt	4	411E
chatgpt	5	SOH8
claude12	1	HBE3
claude12	2	8Q1Q
claude12	3	2477
claude12	4	QQWM
claude12	5	3ENJ
dolly	1	TRVC
dolly	2	D9WZ
dolly	3	Q1QX
dolly	4	U0OX
dolly	5	1D8I
gpt4all	1	4GOW
gpt4all	2	2RYL
gpt4all	3	8UJF
gpt4all	4	Z08Z
gpt4all	5	F845
human1	1	MSVY
human2	2	7VXP
human3	3	HJYG
human4	4	CEU6
human5	5	S2BM
koala	1	STXW
koala	2	4UK5
koala	3	OHLS
koala	4	8F6A
koala	5	UAC2
OA	1	M8M5
OA	2	U360
OA	3	V455
OA	4	DBV7
OA	5	9PP9
stablelm	1	3V7S
stablelm	2	0BDQ
stablelm	3	FB5P
stablelm	4	P3Q3
stablelm	5	KETI
vicuna	1	5LQ9
vicuna	2	3LNP
vicuna	3	O58A
vicuna	4	DTFW
vicuna	5	91IV
