Original,Anonymized
alpaca-13b-2023-04-07-temp07-1.txt,9189.txt
alpaca-13b-2023-04-07-temp07-2.txt,MSP3.txt
alpaca-13b-2023-04-07-temp07-3.txt,CG9C.txt
alpaca-13b-2023-04-07-temp07-4.txt,2QCD.txt
alpaca-13b-2023-04-07-temp07-5.txt,V8DE.txt
bard-2023-04-11-1.txt,EE4I.txt
bard-2023-04-11-2.txt,4OIE.txt
bard-2023-04-11-3.txt,FHWX.txt
bard-2023-04-11-4.txt,KO23.txt
bard-2023-04-11-5.txt,EH60.txt
bing-creative-2023-04-07-1.txt,E12Z.txt
bing-creative-2023-04-11-2.txt,HRLV.txt
bing-creative-2023-04-11-3.txt,L9PD.txt
bing-creative-2023-04-11-4.txt,3AA0.txt
bing-creative-2023-04-11-5.txt,9SDQ.txt
chatgpt-free-mar23version-2023-04-11-1.txt,8X76.txt
chatgpt-free-mar23version-2023-04-11-2.txt,XWOA.txt
chatgpt-free-mar23version-2023-04-11-3.txt,H45J.txt
chatgpt-free-mar23version-2023-04-11-4.txt,DU0E.txt
chatgpt-free-mar23version-2023-04-11-5.txt,143V.txt
chatgpt-gpt4-mar23version-2023-04-14-1.txt,7UKN.txt
chatgpt-gpt4-mar23version-2023-04-14-2.txt,KX0B.txt
chatgpt-gpt4-mar23version-2023-04-14-3.txt,B2NX.txt
chatgpt-gpt4-mar23version-2023-04-14-4.txt,411E.txt
chatgpt-gpt4-mar23version-2023-04-14-5.txt,SOH8.txt
claude12-2023-04-04-1.txt,HBE3.txt
claude12-2023-04-04-2.txt,8Q1Q.txt
claude12-2023-04-04-3.txt,2477.txt
claude12-2023-04-04-4.txt,QQWM.txt
claude12-2023-04-04-5.txt,3ENJ.txt
dolly-v2-12b-2023-04-14-1.txt,TRVC.txt
dolly-v2-12b-2023-04-14-2.txt,D9WZ.txt
dolly-v2-12b-2023-04-14-3.txt,Q1QX.txt
dolly-v2-12b-2023-04-14-4.txt,U0OX.txt
dolly-v2-12b-2023-04-14-5.txt,1D8I.txt
gpt4all-j-2023-04-14-1.txt,4GOW.txt
gpt4all-j-2023-04-14-2.txt,2RYL.txt
gpt4all-j-2023-04-14-3.txt,8UJF.txt
gpt4all-j-2023-04-14-4.txt,Z08Z.txt
gpt4all-j-2023-04-14-5.txt,F845.txt
human1-2023-05-12-1.txt,MSVY.txt
human2-2023-05-12-2.txt,7VXP.txt
human3-2023-05-12-3.txt,HJYG.txt
human4-2023-05-12-4.txt,CEU6.txt
human5-2023-05-12-5.txt,S2BM.txt
koala-13b-2023-04-07-temp07-1.txt,STXW.txt
koala-13b-2023-04-07-temp07-2.txt,4UK5.txt
koala-13b-2023-04-07-temp07-3.txt,OHLS.txt
koala-13b-2023-04-07-temp07-4.txt,8F6A.txt
koala-13b-2023-04-07-temp07-5.txt,UAC2.txt
OA_SFT_Llama_30B_6-1.txt,M8M5.txt
OA_SFT_Llama_30B_6-2.txt,U360.txt
OA_SFT_Llama_30B_6-3.txt,V455.txt
OA_SFT_Llama_30B_6-4.txt,DBV7.txt
OA_SFT_Llama_30B_6-5.txt,9PP9.txt
stablelm-tuned-alpha-7b-2023-04-20-1.txt,3V7S.txt
stablelm-tuned-alpha-7b-2023-04-20-2.txt,0BDQ.txt
stablelm-tuned-alpha-7b-2023-04-20-3.txt,FB5P.txt
stablelm-tuned-alpha-7b-2023-04-20-4.txt,P3Q3.txt
stablelm-tuned-alpha-7b-2023-04-20-5.txt,KETI.txt
vicuna-13b-2023-04-07-temp07-1.txt,5LQ9.txt
vicuna-13b-2023-04-07-temp07-2.txt,3LNP.txt
vicuna-13b-2023-04-07-temp07-3.txt,O58A.txt
vicuna-13b-2023-04-07-temp07-4.txt,DTFW.txt
vicuna-13b-2023-04-07-temp07-5.txt,91IV.txt
